administrative_area_level_1,confirmed,deaths,date,stringency_index,government_response_index,containment_health_index,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Singapore,0,NA,2020-01-22,19.44,19.27,22.02,NA,NA,NA,NA,NA,NA
Singapore,1,NA,2020-01-23,25,24.48,27.98,NA,NA,NA,NA,NA,NA
Singapore,3,NA,2020-01-24,25,24.48,27.98,NA,NA,NA,NA,NA,NA
Singapore,3,NA,2020-01-25,25,24.48,27.98,NA,NA,NA,NA,NA,NA
Singapore,4,NA,2020-01-26,25,24.48,27.98,NA,NA,NA,NA,NA,NA
Singapore,5,NA,2020-01-27,25,24.48,27.98,NA,NA,NA,NA,NA,NA
Singapore,7,NA,2020-01-28,25,24.48,27.98,NA,NA,NA,NA,NA,NA
Singapore,7,NA,2020-01-29,25,24.48,27.98,NA,NA,NA,NA,NA,NA
Singapore,10,NA,2020-01-30,25,24.48,27.98,NA,NA,NA,NA,NA,NA
Singapore,13,NA,2020-01-31,25,24.48,27.98,NA,NA,NA,NA,NA,NA
Singapore,16,NA,2020-02-01,25,24.48,27.98,NA,NA,NA,NA,NA,NA
Singapore,18,NA,2020-02-02,25,24.48,27.98,NA,NA,NA,NA,NA,NA
Singapore,18,NA,2020-02-03,25,24.48,27.98,NA,NA,NA,NA,NA,NA
Singapore,24,NA,2020-02-04,25,28.65,32.74,NA,NA,NA,NA,NA,NA
Singapore,28,NA,2020-02-05,25,28.65,32.74,NA,NA,NA,NA,NA,NA
Singapore,28,NA,2020-02-06,25,28.65,32.74,NA,NA,NA,NA,NA,NA
Singapore,30,NA,2020-02-07,30.56,31.77,36.31,NA,NA,NA,NA,NA,NA
Singapore,33,NA,2020-02-08,30.56,31.77,36.31,NA,NA,NA,NA,NA,NA
Singapore,40,NA,2020-02-09,30.56,31.77,36.31,NA,NA,NA,NA,NA,NA
Singapore,45,NA,2020-02-10,30.56,31.77,36.31,NA,NA,NA,NA,NA,NA
Singapore,47,NA,2020-02-11,30.56,31.77,36.31,NA,NA,NA,NA,NA,NA
Singapore,50,NA,2020-02-12,30.56,31.77,36.31,NA,NA,NA,NA,NA,NA
Singapore,58,NA,2020-02-13,30.56,31.77,36.31,NA,NA,NA,NA,NA,NA
Singapore,67,NA,2020-02-14,30.56,31.77,36.31,NA,NA,NA,NA,NA,NA
Singapore,72,NA,2020-02-15,30.56,31.77,36.31,-14,-9,-10,-17,-4,8
Singapore,75,NA,2020-02-16,30.56,31.77,36.31,-19,-17,-18,-22,-7,8
Singapore,77,NA,2020-02-17,30.56,31.77,36.31,-12,-6,-7,-14,-4,7
Singapore,81,NA,2020-02-18,30.56,31.77,36.31,-13,-9,-7,-15,-5,7
Singapore,84,NA,2020-02-19,30.56,31.77,36.31,-14,-14,-6,-15,-5,8
Singapore,84,NA,2020-02-20,30.56,31.77,36.31,-14,-13,-10,-12,-5,7
Singapore,85,NA,2020-02-21,30.56,31.77,36.31,-11,-12,-14,-12,0,8
Singapore,85,NA,2020-02-22,30.56,31.77,36.31,-11,-9,-5,-16,-3,6
Singapore,89,NA,2020-02-23,30.56,31.77,36.31,-14,-12,-3,-19,-5,6
Singapore,89,NA,2020-02-24,30.56,31.77,36.31,-12,-8,-12,-14,-3,7
Singapore,91,NA,2020-02-25,30.56,31.77,36.31,-10,-6,-2,-13,-3,6
Singapore,93,NA,2020-02-26,30.56,31.77,36.31,-12,-13,-4,-14,-4,7
Singapore,93,NA,2020-02-27,30.56,31.77,36.31,-12,-9,-5,-9,-4,6
Singapore,93,NA,2020-02-28,30.56,31.77,36.31,-8,-10,-8,-11,1,7
Singapore,102,NA,2020-02-29,30.56,31.77,36.31,-8,-7,-2,-13,0,5
Singapore,106,NA,2020-03-01,30.56,31.77,36.31,-11,-9,-1,-16,-3,5
Singapore,108,NA,2020-03-02,30.56,31.77,36.31,-8,-5,-7,-12,-2,6
Singapore,110,NA,2020-03-03,30.56,31.77,36.31,-8,-5,-3,-13,-1,6
Singapore,110,NA,2020-03-04,30.56,31.77,36.31,-11,-12,-7,-12,-2,6
Singapore,117,NA,2020-03-05,30.56,31.77,36.31,-12,-11,-13,-9,-2,6
Singapore,130,NA,2020-03-06,30.56,31.77,36.31,-8,-9,-8,-10,3,7
Singapore,138,NA,2020-03-07,30.56,31.77,36.31,-10,-8,-16,-15,0,6
Singapore,150,NA,2020-03-08,30.56,31.77,36.31,-11,-10,-7,-16,-2,5
Singapore,150,NA,2020-03-09,30.56,31.77,36.31,-11,-7,-9,-14,-1,6
Singapore,160,NA,2020-03-10,30.56,31.77,36.31,-11,-7,-4,-13,-1,6
Singapore,178,NA,2020-03-11,30.56,31.77,36.31,-13,-12,-9,-13,-2,7
Singapore,178,NA,2020-03-12,30.56,31.77,36.31,-13,-9,-8,-9,-2,6
Singapore,200,NA,2020-03-13,36.11,34.9,39.88,-10,-10,-9,-12,1,8
Singapore,212,NA,2020-03-14,36.11,34.9,39.88,-11,-8,-1,-15,0,6
Singapore,226,NA,2020-03-15,36.11,34.9,39.88,-14,-10,4,-18,-3,6
Singapore,243,NA,2020-03-16,36.11,34.9,39.88,-10,-2,1,-16,-11,9
Singapore,266,NA,2020-03-17,36.11,34.9,39.88,-8,16,2,-16,-12,9
Singapore,313,NA,2020-03-18,36.11,34.9,39.88,-11,-2,-3,-19,-14,11
Singapore,345,NA,2020-03-19,36.11,34.9,39.88,-13,-1,-2,-19,-16,12
Singapore,385,NA,2020-03-20,36.11,34.9,39.88,-11,-6,-6,-21,-13,15
Singapore,432,2,2020-03-21,36.11,34.9,39.88,-13,-4,-15,-23,-3,11
